ds,y
2016-11-15,115152474280
2016-11-16,118793046263
2016-11-17,128219061876
2016-11-18,89489112282
2016-11-19,36315659884
2016-11-20,32208117273
2016-11-21,81824614145
2016-11-22,80852874221
2016-11-23,43662613087
2016-11-24,15429561111
2016-11-25,28828182198
2016-11-26,32337408653
2016-11-27,33451192740
2016-11-28,53762355931
2016-11-29,104475051717
2016-11-30,87155146145
2016-12-01,83961872486
2016-12-02,82356239745
2016-12-03,40612632294
2016-12-04,15476783553
2016-12-05,64364918878
2016-12-06,77946791032
2016-12-07,66938881826
2016-12-08,54662558577
2016-12-09,56467231293
2016-12-10,21419093993
2016-12-11,8445078073
2016-12-12,37055174675
2016-12-13,39082401929
2016-12-14,34235378274
2016-12-15,27005122283
2016-12-16,30994333509
2016-12-17,11898353737
2016-12-18,6324911985
2016-12-19,21823455499
2016-12-20,37745012940
2016-12-21,45640643334
2016-12-22,46797158321
2016-12-23,27978433168
2016-12-24,12087252833
2016-12-25,4353308994
2016-12-26,18620777464
2016-12-27,32676731578
2016-12-28,41064075557
2016-12-29,37070023299
2016-12-30,34395739475
2016-12-31,21659859203
2017-01-01,17718113095
2017-01-02,23005530590
2017-01-03,57546606123
2017-01-04,41405926293
2017-01-05,36818276206
2017-01-06,31862922751
2017-01-07,16448389128
2017-01-08,14682336004
2017-01-09,48312506487
2017-01-10,42110421570
2017-01-11,48568505656
2017-01-12,39105635616
2017-01-13,46204711450
2017-01-14,25369534503
2017-01-15,25779266943
2017-01-16,17728307875
2017-01-17,59565325398
2017-01-18,67749390231
2017-01-19,55904886323
2017-01-20,57262299211
2017-01-21,71025897484
2017-01-22,33322666645
2017-01-23,72064071677
2017-01-24,73034697787
2017-01-25,65113160104
2017-01-26,60220666132
2017-01-27,55843983807
2017-01-28,27177224978
2017-01-29,19839683725
2017-01-30,57019502216
2017-01-31,64999389725
2017-02-01,68656822575
2017-02-02,54371152950
2017-02-03,51370708325
2017-02-04,25712917649
2017-02-05,32228555365
2017-02-06,76115242071
2017-02-07,60452896474
2017-02-08,64233971886
2017-02-09,52972076253
2017-02-10,60322420585
2017-02-11,42665776639
2017-02-12,34819347654
2017-02-13,76715909228
2017-02-14,83522303823
2017-02-15,70597660916
2017-02-16,71413898949
2017-02-17,100478431423
2017-02-18,88616828065
2017-02-19,72795683047
2017-02-20,95521179917
2017-02-21,100337303430
2017-02-22,118809383923
2017-02-23,74154047783
2017-02-24,64400974502
2017-02-25,23581010836
2017-02-26,35966168055
2017-02-27,90358877048
2017-02-28,73914823281
2017-03-01,57699547184
2017-03-02,67824263330
