Date,Open,High,Low,Close,Adj Close,Volume
2020-04-01,61.625000,62.180000,59.782501,60.227501,59.853539,176218400
2020-04-02,60.084999,61.287498,59.224998,61.232498,60.852295,165934000
2020-04-03,60.700001,61.424999,59.742500,60.352501,59.977768,129880000
2020-04-06,62.724998,65.777496,62.345001,65.617500,65.210068,201820400
2020-04-07,67.699997,67.925003,64.750000,64.857498,64.454796,202887200
2020-04-08,65.684998,66.842499,65.307503,66.517502,66.104485,168895200
2020-04-09,67.175003,67.517502,66.175003,66.997498,66.581505,162116400
2020-04-13,67.077499,68.425003,66.457497,68.312500,67.888336,131022800
2020-04-14,70.000000,72.062500,69.512497,71.762497,71.316910,194994800
2020-04-15,70.599998,71.582497,70.157501,71.107498,70.665985,131154400
2020-04-16,71.845001,72.050003,70.587502,71.672501,71.227470,157125200
2020-04-17,71.172501,71.737503,69.214996,70.699997,70.261017,215250000
2020-04-20,69.487503,70.419998,69.212502,69.232498,68.802620,130015200
2020-04-21,69.070000,69.312500,66.357498,67.092499,66.675911,180991600
2020-04-22,68.402496,69.474998,68.050003,69.025002,68.596413,117057200
2020-04-23,68.967499,70.437500,68.717499,68.757500,68.330582,124814400
2020-04-24,69.300003,70.752502,69.250000,70.742500,70.303253,126508800
2020-04-27,70.449997,71.135002,69.987503,70.792503,70.352943,117087600
2020-04-28,71.269997,71.457497,69.550003,69.644997,69.212555,112004800
2020-04-29,71.182503,72.417503,70.972504,71.932503,71.485863,137280800
2020-04-30,72.489998,73.632500,72.087502,73.449997,72.993935,183064000
2020-05-01,71.562500,74.750000,71.462502,72.267502,71.818787,240616800
2020-05-04,72.292503,73.422501,71.580002,73.290001,72.834930,133568000
2020-05-05,73.764999,75.250000,73.614998,74.389999,73.928101,147751200
2020-05-06,75.114998,75.809998,74.717499,75.157501,74.690842,142333600
2020-05-07,75.805000,76.292503,75.492500,75.934998,75.463509,115215200
2020-05-08,76.410004,77.587502,76.072502,77.532501,77.259674,134048000
2020-05-11,77.025002,79.262497,76.809998,78.752502,78.475372,145946400
2020-05-12,79.457497,79.922501,77.727501,77.852501,77.578537,162301200
2020-05-13,78.037498,78.987503,75.802498,76.912498,76.641853,200622400
2020-05-14,76.127502,77.447502,75.382500,77.385002,77.112686,158929200
2020-05-15,75.087502,76.974998,75.052498,76.927498,76.656792,166348400
2020-05-18,78.292503,79.125000,77.580002,78.739998,78.462914,135372400
2020-05-19,78.757500,79.629997,78.252502,78.285004,78.009521,101729600
2020-05-20,79.169998,79.879997,79.129997,79.807503,79.526665,111504800
2020-05-21,79.665001,80.222504,78.967499,79.212502,78.933754,102688800
2020-05-22,78.942497,79.807503,78.837502,79.722504,79.441963,81803200
2020-05-26,80.875000,81.059998,79.125000,79.182503,78.903862,125522000
2020-05-27,79.035004,79.677498,78.272499,79.527496,79.247643,112945200
2020-05-28,79.192497,80.860001,78.907501,79.562500,79.282524,133560800
2020-05-29,79.812500,80.287498,79.117500,79.485001,79.205299,153598000
2020-06-01,79.437500,80.587502,79.302498,80.462502,80.179359,80791200
2020-06-02,80.187500,80.860001,79.732498,80.834999,80.550545,87642800
2020-06-03,81.165001,81.550003,80.574997,81.279999,80.993980,104491200
2020-06-04,81.097504,81.404999,80.195000,80.580002,80.296448,87560400
2020-06-05,80.837502,82.937500,80.807503,82.875000,82.583374,137250400
2020-06-08,82.562500,83.400002,81.830002,83.364998,83.071640,95654400
2020-06-09,83.035004,86.402496,83.002502,85.997498,85.694878,147712400
2020-06-10,86.974998,88.692497,86.522499,88.209999,87.899590,166651600
2020-06-11,87.327499,87.764999,83.870003,83.974998,83.679497,201662400
2020-06-12,86.180000,86.949997,83.555000,84.699997,84.401947,200146000
2020-06-15,83.312500,86.419998,83.144997,85.747498,85.445755,138808800
2020-06-16,87.864998,88.300003,86.180000,88.019997,87.710258,41357200
2020-06-17,88.787498,88.849998,87.772499,87.897499,87.588196,28532000
2020-06-18,87.852501,88.362503,87.305000,87.932503,87.623077,24205100
2020-06-19,88.660004,89.139999,86.287498,87.430000,87.122337,66119000
2020-06-22,87.834999,89.864998,87.787498,89.717499,89.401787,33861300
2020-06-23,91.000000,93.095001,90.567497,91.632500,91.310051,53038900
2020-06-24,91.250000,92.197502,89.629997,90.014999,89.698242,48155800
2020-06-25,90.175003,91.250000,89.392502,91.209999,90.889038,34380600
2020-06-26,91.102501,91.330002,88.254997,88.407501,88.096405,51270100
2020-06-29,88.312500,90.542503,87.820000,90.445000,90.126732,130646000
2020-06-30,90.019997,91.495003,90.000000,91.199997,90.879066,140223200
2020-07-01,91.279999,91.839996,90.977501,91.027496,90.707176,110737200
2020-07-02,91.962502,92.617500,90.910004,91.027496,90.707176,114041600
